주사위,지형명,지형 설명,isAngra
1,지하동굴,"좁은 통로와 넓은 공동이 불규칙하게 이어진 지형이다. 어둠과 메아리, 습기 때문에 거리감과 방향감각이 쉽게 흐려진다.",
2,석회동굴,"석순과 종유석이 촘촘히 자라난 동굴 지형이다. 기둥처럼 솟은 암석이 시야를 가리고, 부서지면 날카로운 파편이 흩어진다.",
3,수정동굴,"수정과 광물이 벽과 천장에 자라난 지형이다. 빛이 굴절되어 시야가 어긋나고, 일부 결정은 마나나 충격에 반응할 수 있다.",
4,용암동굴,"지하 깊은 곳에 뜨거운 균열과 용암 흐름이 있는 지형이다. 안전한 발판이 제한되며, 열기와 유독 가스가 전투를 압박한다.",
5,얼음동굴,"얼어붙은 벽과 미끄러운 바닥이 이어지는 지형이다. 소리가 멀리 울리고, 발판이 깨지거나 미끄러질 위험이 크다.",
6,폐광,"버려진 갱도와 지지대, 광차 선로가 남은 지형이다. 붕괴 위험이 있으며, 어두운 옆길과 수직 갱도가 많아 매복에 적합하다.",
7,지하수로,"좁은 통로와 물길이 함께 이어진 지형이다. 물살과 낮은 천장, 악취가 전투를 방해하고 수면 아래의 움직임을 확인하기 어렵다.",
8,하수도,"도시 아래에 펼쳐진 오염된 지하 통로다. 독성 물질과 좁은 길, 복잡한 갈림길이 많아 추적전과 은신전에 적합하다.",
9,지하묘지,"석관과 매장실, 낡은 장례 장식이 이어진 지형이다. 좁은 방과 통로가 많고, 죽은 자의 흔적이 전장을 무겁게 만든다.",
10,지하유적,"지하에 묻힌 고대 문명의 구조물이다. 낡은 장치와 봉인문, 붕괴된 회랑이 섞여 있으며, 단순 동굴보다 인공적 규칙성이 강하다.",
11,숲,"나무와 수풀이 밀집한 기본 자연 지형이다. 시야가 짧고 은폐가 쉬우며, 짐승형 적이나 추적자가 유리하다.",
12,깊은숲,"오래된 나무와 두꺼운 그늘이 이어지는 지형이다. 빛이 적고 길이 희미해 방향을 잃기 쉬우며, 오래 머무를수록 불안감이 커진다.",
13,안개숲,안개가 나무 사이에 낮게 깔린 지형이다. 소리와 그림자가 왜곡되어 적의 위치를 확신하기 어렵다.,
14,마른숲,"불에 타거나 말라붙은 나무들이 서 있는 지형이다. 엄폐물은 많지만 불이 붙기 쉽고, 가지가 부러지는 소리가 위치를 드러낸다.",
15,덩굴숲,"덩굴과 뿌리가 길을 막는 지형이다. 이동이 느려지고, 전투 중 구속이나 포획 효과를 넣기 좋다.",
16,침엽수림,"높고 곧은 나무들이 빽빽하게 선 지형이다. 시야가 세로로 길게 나뉘고, 눈이나 안개와 결합하면 음산한 분위기가 강해진다.",
17,대초원,"탁 트인 풀밭과 완만한 언덕이 이어지는 지형이다. 엄폐물이 적어 원거리 시야가 좋지만, 매복보다 추격과 돌진이 두드러진다.",
18,꽃밭,아름다운 꽃과 낮은 풀이 넓게 펼쳐진 지형이다. 평화로워 보이지만 독성 꽃가루나 환각성 향기를 넣기 좋다.,
19,습지,"물이 얕게 고이고 풀이 빽빽한 지형이다. 발밑이 불안정하고, 수면 아래 생물이나 늪지 함정이 숨어 있을 수 있다.",
20,늪지,"진흙과 수렁, 썩은 물이 넓게 퍼진 지형이다. 이동이 제한되고 독성 생물, 매복형 적, 포획형 적과 잘 어울린다.",
21,강가,"흐르는 강과 둔치, 자갈밭이 있는 지형이다. 물길이 전장을 나누며, 건너기와 밀려남이 중요한 변수가 된다.",
22,호숫가,"넓은 수면과 완만한 둔덕이 있는 지형이다. 수면 아래의 위협, 안개, 반사 효과를 활용하기 좋다.",
23,폭포,"강한 물소리와 물안개가 가득한 지형이다. 소통이 어렵고 바위가 미끄러우며, 뒤편에 숨겨진 공간을 넣기 좋다.",
24,해안절벽,"바다와 절벽이 맞닿은 지형이다. 바람과 파도 소리가 강하고, 추락이나 밀려남이 큰 위협이 된다.",
25,모래해변,"부드러운 모래와 얕은 파도가 이어지는 지형이다. 발이 빠져 움직임이 둔해지고, 수륙 양용 적을 배치하기 좋다.",
26,갯벌,"진흙과 바닷물이 섞인 평평한 지형이다. 이동이 매우 불안정하고, 밀물과 썰물에 따라 전장 조건이 바뀐다.",
27,사막,"뜨거운 모래와 넓은 시야가 특징인 지형이다. 엄폐물이 적고 체력 소모가 크며, 잠복형 생물과 모래폭풍을 넣기 좋다.",
28,사구,"높낮이가 큰 사구가 이어지는 지형이다. 시야와 사격선이 계속 바뀌며, 발밑의 모래가 무너질 수 있다.",
29,바위 사막,"모래보다 바위와 건조한 협곡이 많은 지형이다. 거친 암석이 엄폐물이 되지만, 낙석과 고온이 위협이 된다.",
30,오아시스,"사막 한가운데 물과 식물이 모인 지형이다. 휴식처처럼 보이지만, 물을 노리는 생물과 매복자들이 모이기 쉽다.",
31,설원,"눈이 넓게 쌓인 평지형 지형이다. 발자국이 남고, 추위와 시야 반사가 전투를 어렵게 만든다.",
32,눈보라 벌판,"눈보라가 강하게 몰아치는 지형이다. 시야와 소리가 모두 차단되고, 가까운 적도 놓치기 쉽다.",
33,빙하 지대,"두꺼운 얼음과 갈라진 틈이 이어지는 지형이다. 균열과 미끄러짐, 얼음 아래의 물이 주요 위험이다.",
34,얼음호수,"얼음으로 덮인 수면 위에서 싸우는 지형이다. 충격이 누적되면 얼음이 깨질 수 있고, 위치 선정이 중요하다.",
35,툰드라,"낮은 풀과 얼어붙은 땅이 이어지는 추운 황야다. 엄폐물은 적지만, 작은 굴과 얼음 틈에 적이 숨을 수 있다.",
36,고원,"높은 지대에 펼쳐진 탁 트인 평지다. 바람이 강하고 산소가 희박하며, 멀리서 접근하는 적을 먼저 볼 수 있다.",
37,바람고원,"강풍이 지속적으로 부는 고원 지형이다. 투사체와 비행, 균형 유지가 어려워진다.",
38,초승달절벽,여러 절벽과 좁은 능선이 이어지는 고지 지형이다. 전투는 추락과 우회로 장악이 중심이 된다.,
39,산길,"산허리를 따라 난 좁은 길이다. 한쪽은 절벽, 한쪽은 암벽인 경우가 많아 포위와 낙석이 위협적이다.",
40,산정상,"트인 시야와 강한 바람이 있는 지형이다. 공간은 넓어 보이지만 피할 곳이 적고, 날씨 변화가 전투에 큰 영향을 준다.",
41,협곡,"높은 암벽 사이로 좁은 길이 이어지는 지형이다. 매복과 포위, 낙석 공격에 적합하다.",
42,암석지대,"크고 작은 바위들이 널린 지형이다. 엄폐물과 장애물이 많아 전투가 분절되고, 기습이 쉬워진다.",
43,균열지대,"땅이 갈라지고 틈이 많은 지형이다. 발판이 불안정하며, 강한 충격으로 새로운 균열이 생길 수 있다.",
44,분화구,둥글게 패인 거대한 구덩이형 지형이다. 중심부와 가장자리의 높낮이가 분명해 전투 위치가 중요하다.,
45,화산재평원,"재가 두껍게 깔린 어두운 평원이다. 발자국과 흔적은 남지만, 재바람이 시야와 호흡을 방해한다.",
46,마을,"민가와 창고, 울타리, 우물이 있는 소규모 거주지다. 민간인 보호와 건물 피해를 고려해야 하며, 골목과 마당이 전장을 나눈다.",
47,폐마을,"사람이 떠난 뒤 방치된 마을이다. 생활 흔적은 남았지만 비어 있어, 매복과 괴담성 조우에 적합하다.",
48,불탄마을,"화재와 습격으로 폐허가 된 마을이다. 무너진 지붕과 그을린 집, 남은 잔열이 전장 분위기를 무겁게 만든다.",
49,요새마을,"목책이나 낮은 성벽을 갖춘 방어형 마을이다. 방어전, 문 돌파, 피난민 보호 같은 전투에 적합하다.",
50,농장,"밭과 헛간, 낮은 울타리, 가축 우리가 있는 지형이다. 시야는 트여 있지만 구조물이 흩어져 있어 은폐와 추격이 가능하다.",
51,목장,"넓은 풀밭과 울타리, 축사가 있는 지형이다. 이동은 쉽지만 엄폐물이 적고, 가축이나 탈것이 변수로 작용할 수 있다.",
52,광산촌,"광산 입구와 노동자 숙소, 임시 창고가 모인 지형이다. 문명권과 지하 지형이 연결되는 장소로 쓰기 좋다.",
53,항구마을,"부두와 창고, 작은 선박이 있는 지형이다. 물가와 좁은 선착장이 전투를 나누고, 탈출로가 많다.",
54,도시거리,"넓은 도로와 상점, 주거 건물이 이어진 지형이다. 민간인, 은폐물, 측면 골목이 많아 전투가 복잡해진다.",
55,골목,"건물 사이의 좁은 길이 이어지는 지형이다. 시야가 제한되고, 기습과 추격, 포위가 쉽게 발생한다.",
56,시장거리,"가판대와 천막, 사람들의 흔적이 많은 지형이다. 장애물이 많고, 전투 중 물건이 무너지며 길을 막을 수 있다.",
57,귀족저택,"넓은 홀과 정원, 복도, 방이 있는 실내형 지형이다. 장식물과 가구가 엄폐물이 되며, 침투전과 추격전에 적합하다.",
58,성벽,"좁고 긴 방어 구조물 위에서 싸우는 지형이다. 추락 위험과 사다리, 투사체, 문 방어가 중요하다.",
59,성문,"관문과 넓은 진입로가 중심인 지형이다. 돌파와 방어, 피난민 이동, 적의 진입 저지가 핵심이다.",
60,성채,"복도와 계단, 병영, 창고가 섞인 지형이다. 방마다 전장 조건이 달라지며, 수비자가 지형을 잘 이용한다.",
61,광장,넓게 열린 도시 중심부 지형이다. 엄폐물은 적지만 여러 방향에서 접근이 가능해 포위와 군중 통제가 중요하다.,
62,사원,"제단과 기둥, 예배 공간이 있는 지형이다. 신성한 상징과 의식 구조가 전투 목적과 연결되기 쉽다.",
63,타락성소,원래는 신성했지만 오염된 흔적이 남은 지형이다. 빛과 오염이 동시에 존재해 불길한 대비를 만든다.,
64,묘지,"무덤과 비석, 낮은 담장이 이어지는 지형이다. 엄폐물이 많고, 죽은 자와 관련된 조우에 적합하다.",
65,납골당,지하 또는 석조 건물 내부에 뼈와 유해가 보관된 지형이다. 좁은 통로와 방이 많아 폐쇄감이 강하다.,
66,도서관,"책장과 열람실, 기록 보관실이 있는 지형이다. 불과 습기에 취약하며, 전투 중 지식을 보존할지 파괴할지가 문제가 된다.",
67,기록보관소,"문서와 봉인함, 표본이 정리된 지형이다. 전투 목표가 적 처치보다 자료 보호나 회수로 바뀌기 쉽다.",
68,연구실,"실험대와 시료, 유리 용기, 장치가 있는 지형이다. 파손되면 독, 누출, 정제 실패 반응이 발생할 수 있다.",
69,정제소,"부정한 핵과 흑마석을 다루는 시설 지형이다. 봉인 장치와 빛 정화 설비가 있으며, 위험물 폭주 가능성이 있다.",
70,대장간,"화로와 모루, 금속 재료가 있는 지형이다. 불과 금속, 고열, 무거운 장비가 전투 변수로 작용한다.",
71,창고,"상자와 선반, 포대가 쌓인 지형이다. 엄폐물은 많지만 시야가 좁고, 화물 붕괴나 위험물 보관이 문제가 될 수 있다.",
72,여관,"객실과 식당, 계단이 있는 지형이다. 좁은 실내와 민간인, 가구가 뒤섞여 난전이 되기 쉽다.",
73,극장,"무대와 객석, 커튼, 장치가 있는 지형이다. 위아래 공간이 나뉘고, 조명과 은폐가 전투 분위기를 만든다.",
74,투기장,"중앙 전장과 관중석, 출입문이 있는 지형이다. 도주로가 제한되고, 정면전과 난입 전개에 적합하다.",
75,다리,"강이나 협곡 위를 가로지르는 좁은 연결 지형이다. 추락과 돌파, 길목 장악이 전투의 핵심이 된다.",
76,부서진 다리,"중간이 끊기거나 일부가 무너진 다리 지형이다. 이동 경로가 제한되고, 도약이나 우회가 필요할 수 있다.",
77,관문,"두 지역을 잇는 문과 감시 구조물이 있는 지형이다. 검문, 돌파, 방어, 침투 상황에 적합하다.",
78,포탈,"공간 이동 장치나 고대 포탈이 있는 지형이다. 전이 불안정, 공명, 예기치 않은 증원이나 탈출이 발생할 수 있다.",
79,고대유적,"무너진 기둥과 석판, 낡은 벽화가 남은 지형이다. 고대 장치와 함정, 봉인 구조가 전투에 개입할 수 있다.",
80,폐허도시,"무너진 건물과 넓은 도로, 지하 공간이 함께 남은 대형 지형이다. 탐사와 전투가 동시에 진행되기 좋다.",
81,무너진 탑,"수직 구조가 강한 폐허 지형이다. 계단과 붕괴된 층, 높은 위치가 전투의 핵심이 된다.",
82,미궁회랑,"비슷한 복도와 방이 반복되는 지형이다. 길을 잃기 쉽고, 추적자와 도망자가 서로 위치를 착각하기 좋다.",
83,봉인실,"봉인석이나 제단, 잠금 장치가 있는 폐쇄형 지형이다. 전투 목표가 봉인을 지키거나 해제하는 데 집중된다.",
84,의식장,"문양과 제물대, 원형 배치가 있는 지형이다. 특정 구조물이 전투 중 기능하며, 의식 진행도가 시간 제한처럼 작용할 수 있다.",
85,룬 각인지,바닥과 벽에 알 수 없는 룬이 새겨진 지형이다. 특정 조건에서 룬이 발현해 전장 효과를 바꿀 수 있다.,
86,준던전화 구역,"아직 완전한 던전은 아니지만 공간이 굳어가는 지형이다. 방의 순서와 크기, 출입구가 정상적인 규칙을 따르지 않는다.",
87,흑마석 광맥,"검은 결정과 광맥이 지형을 장악한 장소다. 결정은 마나와 충격에 반응하며, 채굴 흔적이나 수호 개체가 있을 수 있다.",
88,부정한 핵,"던전 핵 또는 그 파편이 영향을 미치는 지형이다. 불안정한 에너지가 높고, 전투 중 핵 반응이 환경을 바꿀 수 있다.",
89,잔향오염지,"잔향이 남아 감각과 심리를 흔드는 지형이다. 눈에 보이는 위험보다 환청, 피로, 충동, 불안이 더 큰 압박이 된다.",
90,폭주오염지,"잔향 농도가 비정상적으로 치솟은 지형이다. 색과 소리, 냄새가 과잉되고, 생물과 물건이 불안정하게 반응한다.",
91,안개길,"낮은 안개가 길을 덮은 지형이다. 거리감이 흐려지고, 앞서가는 사람과 뒤따르는 사람의 위치가 어긋날 수 있다.",
92,앙그라 경계,"문명권의 빛과 앙그라의 안개가 맞닿는 지형이다. 한쪽은 비교적 안정되어 있지만, 다른 한쪽은 짙은 안개와 공간 왜곡이 밀려온다.",true
93,앙그라 외곽,"문명권 바깥 안개가 얕게 스며든 지형이다. 완전한 안개권은 아니지만, 잔향과 방향감각 상실이 나타난다.",true
94,앙그라 심부,"짙은 안개가 모든 것을 삼키는 위험 지형이다. 대규모 원정이 아니면 접근 자체가 어렵고, 장기 노출은 치명적이다.",true
95,앙그라의 못,"안개를 대지에 고정하는 토템이 박힌 지형이다. 앙그라의 영향이 짙고, 수호자 또는 공간 왜곡이 나타나기 쉽다.",true
96,관측탑,"안개나 던전을 감시하기 위해 세운 높은 시설 지형이다. 방어전과 장기 관측, 장비 보호 상황에 적합하다.",
97,전진야영지,"탐사대가 임시로 세운 천막과 보급품, 방책이 있는 지형이다. 방어는 가능하지만 장기전에는 취약하다.",
98,보급로,"수레길과 표식, 중간 거점이 이어지는 이동 지형이다. 호위, 매복, 추격, 물자 방어 상황에 잘 맞는다.",
99,난민행렬,이동 중인 민간인과 짐수레가 뒤섞인 지형이다. 전투의 목표가 적 처치보다 보호와 질서 유지로 바뀐다.,
100,빛바랜 경계지,"위그드라실의 빛이 약해진 문명권 끝자락이다. 안전지대와 위험지대가 한 공간에 공존하며, 불안정한 전조가 곳곳에 남아 있다.",
101,암초지대,수면 아래 날카로운 암초가 숨어 있는 해상 지형이다. 선박 이동과 수중 접근이 모두 위험해진다.,
102,난파 해역,부서진 배와 잔해가 떠다니는 해상 지형이다. 은폐물과 위험물이 동시에 존재한다.,
103,침몰선,"물에 잠긴 선실과 기울어진 복도가 이어지는 지형이다. 호흡, 시야, 방향 감각이 문제된다.",
104,해저동굴,수중 통로와 공기 주머니가 섞인 동굴 지형이다. 수중 전투와 탐색 장면에 적합하다.,
105,산호초,산호벽과 좁은 수로가 복잡하게 얽힌 수중 지형이다. 길찾기와 매복에 유리하다.,
106,검은 해변,어두운 파도와 떠밀려온 잔해가 가득한 해변 지형이다. 불길한 징조와 추적 장면에 어울린다.,
107,폭풍해안,거센 비바람과 높은 파도가 몰아치는 해안 지형이다. 이동과 원거리 시야가 제한된다.,
108,안개만,"짙은 물안개가 수면 위를 덮은 만 지형이다. 선박, 괴물, 신비한 섬을 숨기기 좋다.",
