subtype_id,major_type_en,major_type_ko,subtype_ko,subtype_en,classification_axis,definition,example_keywords,notes
aberration_001,Aberration,변이체,촉수형 변이체,Tentacled Aberration,형태,촉수·흡반·비정상 부속지를 통해 포획과 감지를 수행하는 변이체,Aboleth; Mind Flayer,촉수는 공격 수단이자 감각 기관일 수 있음
aberration_002,Aberration,변이체,정신지배형 변이체,Mind-Dominating Aberration,위협 양상,"정신 감응과 지배, 명령, 세뇌에 특화된 변이체",Mind Flayer; Intellect Devourer,피해자 행동 기록이 중요
aberration_003,Aberration,변이체,시선·광선형 변이체,Gaze/Ray Aberration,공격 전달,눈·광선·시선으로 원거리 영향을 주는 변이체,Beholder; Spectator,시선 회피 규칙 필요
aberration_004,Aberration,변이체,기생형 변이체,Parasitic Aberration,생태,숙주 내부나 신경계에 침투해 조종 또는 변형시키는 변이체,Intellect Devourer,포섭 피해자와 구분
aberration_005,Aberration,변이체,공생형 변이체,Symbiotic Aberration,생태,숙주와 결합하여 힘을 주거나 감각을 공유하는 변이체,Slaad infection motif,오염인지 공생인지 판정 필요
aberration_006,Aberration,변이체,뇌·두개골형 변이체,Cerebral Aberration,형태,뇌·두개골·신경 조직이 과도하게 발달한 변이체,Intellect Devourer,정신 피해와 결합 잦음
aberration_007,Aberration,변이체,외계 포식자형 변이체,Alien Predator Aberration,생태,자연 생태와 어긋난 방식으로 사냥하는 외계적 포식자,Grell; Chuul,서식 환경이 비정상적일 수 있음
aberration_008,Aberration,변이체,심해·무저형 변이체,Abyssal Deep Aberration,서식,깊은 물·지하호수·무저 환경과 연결된 변이체,Aboleth; Chuul,수중 공고와 결합
aberration_009,Aberration,변이체,차원 균열형 변이체,Rift-Born Aberration,기원,차원 균열·현실 왜곡 주변에서 발생하거나 유입된 변이체,Star Spawn motif,공간 왜곡 기록 필수
aberration_010,Aberration,변이체,육체 재구성형 변이체,Flesh-Rewriting Aberration,기능,대상의 육체를 재배열하거나 신체 구조를 무너뜨리는 변이체,Gibbering Mouther,시료 보존 필요
aberration_011,Aberration,변이체,다기관형 변이체,Multi-Organ Aberration,형태,눈·입·팔·기관이 비정상적으로 중복된 변이체,Gibbering Mouther,관찰 기록 가치 높음
aberration_012,Aberration,변이체,부유 감시자형 변이체,Floating Watcher Aberration,형태,부유하며 관측·광선·감시 역할을 수행하는 변이체,Spectator; Beholderkin,경계 관측 위협
aberration_013,Aberration,변이체,군체 의식형 변이체,Hive-Mind Aberration,사회성,다수 개체가 하나의 의식망처럼 행동하는 변이체,Mind Flayer Colony motif,지도자 제거 여부 중요
aberration_014,Aberration,변이체,꿈·환각형 변이체,Dream/Illusion Aberration,정신 현상,꿈과 환각을 통해 접근하거나 피해자를 유인하는 변이체,Star Spawn motif,소문·괴담 검증과 연계
aberration_015,Aberration,변이체,언어 모방형 변이체,Mimicry Aberration,행동,언어·소리·기억을 모방해 대상을 유인하는 변이체,Gibbering motif,증언 신뢰도 낮음
aberration_016,Aberration,변이체,광기 유발형 변이체,Madness-Inducing Aberration,정신 현상,접촉·시선·소음으로 광기나 혼란을 유발하는 변이체,Gibbering Mouther,검은 광기와 구분
aberration_017,Aberration,변이체,신체 강탈형 변이체,Body-Usurping Aberration,위협 양상,숙주 몸을 빼앗거나 내부에서 조종하는 변이체,Intellect Devourer,침투자 식별 공고와 연계 가능
aberration_018,Aberration,변이체,공허성 변이체,Void Aberration,기원,별빛·공허·현실 외부와 연결된 차가운 이질감을 지닌 변이체,Star Spawn,세계관 확장용
aberration_019,Aberration,변이체,점액성 변이체,Mucous Aberration,형태,점액·침·분비물로 주변을 변형시키는 변이체,Abolethic slime motif,오즈와 중복 시 대분류 우선
aberration_020,Aberration,변이체,집단 구전형 변이체,Chorus Aberration,행동,여러 입이나 소리로 집단적 발화를 반복하는 변이체,Gibbering Mouther,공포 확산에 적합
beast_001,Beast,야수,대형 포식수,Large Predator Beast,생태,단독 또는 소수로 사냥하는 대형 포식 야수,Tiger; Brown Bear,생활권 피해의 대표형
beast_002,Beast,야수,소형 포식수,Small Predator Beast,생태,작지만 은신과 민첩성으로 사냥하는 포식 야수,Badger; Weasel,소형 피해·실종에 적합
beast_003,Beast,야수,무리 사냥꾼,Pack-Hunting Beast,사회성,무리로 포위와 추격을 수행하는 야수,Wolf; Hyena,알파 개체와 결합
beast_004,Beast,야수,초식 거대수,Giant Herbivore Beast,생태,거대 체구와 돌진으로 피해를 주는 초식 야수,Elephant; Mammoth,방어적 폭주 가능
beast_005,Beast,야수,맹금류,Raptor Beast,형태,"발톱과 비행, 급강하 사냥을 쓰는 조류형 야수",Eagle; Hawk,상공 경계 필요
beast_006,Beast,야수,수중 포식수,Aquatic Predator Beast,서식,물속에서 매복하거나 끌고 들어가는 포식 야수,Crocodile; Shark,수로·늪지 공고
beast_007,Beast,야수,양서류형 야수,Amphibian Beast,서식,물과 육지를 오가며 점프·독·삼킴을 쓰는 야수,Giant Frog; Toad,습지 공고
beast_008,Beast,야수,파충류형 야수,Reptilian Beast,형태,비늘·냉혈·물기·꼬리 공격을 보이는 야수,Lizard; Crocodile,괴수와 구분 필요
beast_009,Beast,야수,곤충형 야수,Insectile Beast,형태,절지·날개·독침·군집성을 지닌 곤충 야수,Giant Wasp; Centipede,Plant/Ooze 감염과 결합 가능
beast_010,Beast,야수,거미·절지형 야수,Arachnid/Arthropod Beast,형태,거미줄·독·등반·매복에 특화된 절지 야수,Giant Spider; Scorpion,던전 내부와 잘 결합
beast_011,Beast,야수,군집형 야수,Swarm Beast,사회성,작은 다수 개체가 하나의 위협으로 작동하는 야수,Swarm of Rats; Insects,범위 대응 필요
beast_012,Beast,야수,독성 야수,Venomous Beast,위협 양상,물림·침·분비물로 독성 피해를 주는 야수,Snake; Scorpion,해독 시료 가치
beast_013,Beast,야수,질병 매개 야수,Disease-Bearing Beast,위협 양상,물림·기생충·체액으로 질병을 퍼뜨리는 야수,Rat; Bat,민생 공고와 연계
beast_014,Beast,야수,기승·운반 야수,Mount/Load Beast,용도,기승·운반·가축화 가능성이 있는 야수,Horse; Camel,보급 동물 관련
beast_015,Beast,야수,굴파기 야수,Burrowing Beast,이동,굴을 파고 지면 아래로 이동하는 야수,Badger; Mole motif,농경지 피해
beast_016,Beast,야수,등반 야수,Climbing Beast,이동,벽·나무·절벽·천장을 타는 야수,Ape; Spider,상부 경계 필요
beast_017,Beast,야수,야행성 야수,Nocturnal Beast,활동 주기,밤과 어둠 속에서 활동성이 증가하는 야수,Bat; Owl; Wolf,야영지 공고
beast_018,Beast,야수,영역 방어 야수,Territorial Beast,행동,영역 침입자에게 우선 반응하는 야수,Bear; Boar,우회 가능성 높음
beast_019,Beast,야수,둥지 방어 야수,Nest-Guarding Beast,행동,알·새끼·보금자리 방어에 과민한 야수,Giant Eagle; Crocodile,둥지 정리 공고
beast_020,Beast,야수,청소부 야수,Scavenger Beast,생태,사체와 폐기물을 따라 이동하는 야수,Vulture; Hyena,시체 오염 단서
beast_021,Beast,야수,유인·매복 야수,Ambush Beast,행동,은신 후 갑작스럽게 덮치는 야수,Tiger; Crocodile,추적보다 유인 대응
beast_022,Beast,야수,돌진형 야수,Charging Beast,공격 전달,직선 돌진과 충돌로 위협을 가하는 야수,Boar; Rhinoceros,전열 붕괴
beast_023,Beast,야수,장갑성 야수,Armored Beast,형태,갑각·두꺼운 가죽·비늘로 방어성이 높은 야수,Armadillo motif; Turtle,부산물 가치
beast_024,Beast,야수,변이된 자연 야수,Mutated Natural Beast,상태,자연 야수가 잔향·마법·환경 변화로 변질된 상태,Giant animals,잔향 변이 사냥으로 전환 가능
celestial_001,Celestial,천상체,천사형 천상체,Angelic Celestial,형태,날개와 신성 권능을 지닌 천상 사자,Angel; Deva,신성 질서의 대표형
celestial_002,Celestial,천상체,신성 사자형 천상체,Divine Messenger Celestial,역할,계시·명령·경고를 전달하는 천상체,Couatl; Angel,의사소통 우선
celestial_003,Celestial,천상체,수호자형 천상체,Guardian Celestial,역할,성역·성물·계약을 지키는 천상체,Pegasus; Guardian motif,적대 사유 기록 필요
celestial_004,Celestial,천상체,심판자형 천상체,Judging Celestial,역할,죄·맹세·타락을 판정하고 처벌하는 천상체,Planetar motif,분쟁 중립 주의
celestial_005,Celestial,천상체,치유자형 천상체,Healing Celestial,기능,회복·정화·보호를 중심으로 작동하는 천상체,Unicorn,구조 공고와 결합
celestial_006,Celestial,천상체,광휘 야수형 천상체,Radiant Beast Celestial,형태,야수 형상을 지닌 신성 존재,Pegasus; Unicorn,야수와 대분류 구분
celestial_007,Celestial,천상체,별빛·천문형 천상체,Astral Celestial,상징,별빛·운명·천문 징조와 연결된 천상체,Solar motif,예언·관측 공고
celestial_008,Celestial,천상체,맹세 집행형 천상체,Oath-Enforcing Celestial,역할,맹세와 계약 위반을 추적하는 천상체,Inevitable-like motif,Construct와 구분
celestial_009,Celestial,천상체,성역 방어형 천상체,Sanctuary Celestial,역할,성역 경계 안에서 방어적으로 작동하는 천상체,Guardian spirit,침입 조건 중요
celestial_010,Celestial,천상체,계시 전달자형 천상체,Revelatory Celestial,정신 현상,꿈·환상·징표로 계시를 전달하는 천상체,Couatl dreams,괴담 검증과 연계
celestial_011,Celestial,천상체,타락 감시자형 천상체,Corruption-Watching Celestial,역할,오염과 타락을 감시하거나 정화하는 천상체,Divine watcher,잔향 공고와 연계
celestial_012,Celestial,천상체,정화자형 천상체,Purifying Celestial,기능,부정·언데드·잔향성 오염을 제거하려는 천상체,Angel; Unicorn,광휘 피해와 결합
celestial_013,Celestial,천상체,처벌자형 천상체,Punitive Celestial,위협 양상,교정과 처벌을 위해 전투를 수행하는 천상체,Avenger motif,대화 실패 시 고위험
celestial_014,Celestial,천상체,축복 매개형 천상체,Blessing-Bearing Celestial,기능,축복·가호·보호 효과를 전달하는 존재,Celestial familiar motif,회수보다 접촉
construct_001,Construct,구조체,골렘형 구조체,Golem Construct,제작 방식,재료와 명령에 의해 움직이는 강인한 구조체,Clay Golem; Iron Golem,제작자 단서 중요
construct_002,Construct,구조체,자동인형형 구조체,Automaton Construct,제작 방식,기계적 또는 마법적 자동 작동 구조를 지닌 구조체,Modron; Animated object,명령 반복 가능
construct_003,Construct,구조체,갑주형 구조체,Animated Armor Construct,형태,갑옷·무구가 스스로 움직이는 구조체,Animated Armor,폐허·성채 적합
construct_004,Construct,구조체,병기형 구조체,War Machine Construct,용도,전투와 살상에 맞춰 제작된 구조체,Helmed Horror; Shield Guardian,무장 해제보다 동력 차단
construct_005,Construct,구조체,감시자형 구조체,Watcher Construct,역할,침입자 감시·경보·추적에 특화된 구조체,Flying Sword; Homunculus,관측 시설 방어
construct_006,Construct,구조체,수호 석상형 구조체,Guardian Statue Construct,형태,석상·조각상이 경계 조건에 반응하는 구조체,Gargoyle if construct-like; Statue,실제 가고일은 유형 확인 필요
construct_007,Construct,구조체,함정 결합형 구조체,Trap-Bound Construct,기능,던전 함정과 결합되어 작동하는 구조체,Animated objects,해체 필요
construct_008,Construct,구조체,마법 회로형 구조체,Arcane Circuit Construct,동력,룬·회로·마력 흐름으로 움직이는 구조체,Modron; Shield Guardian,룬 공고와 연계
construct_009,Construct,구조체,정령 주입형 구조체,Elemental-Infused Construct,동력,원소 정령이나 원소 에너지가 주입된 구조체,Golem variants,원소 피해 동반
construct_010,Construct,구조체,언데드 모방 구조체,Undead-Mimic Construct,위장,언데드처럼 보이나 실제로는 제작물인 구조체,Bone construct motif,오분류 방지
construct_011,Construct,구조체,생체 부품 결합 구조체,Biomantic Construct,제작 방식,생체 조직과 기계·마법 부품이 결합된 구조체,Flesh Golem,잔향/정제 실패와 결합
construct_012,Construct,구조체,수정·광물형 구조체,Crystal/Mineral Construct,재료,수정·광물·흑마석 반응 재료로 구성된 구조체,Crystal statue motif,흑마석 반응
construct_013,Construct,구조체,시계장치형 구조체,Clockwork Construct,제작 방식,톱니·스프링·정밀 기계 구조로 작동하는 구조체,Clockwork creatures,정밀 해체 가능
construct_014,Construct,구조체,명령 불안정 구조체,Unstable-Command Construct,상태,명령 체계가 손상되어 예측 불가능하게 작동하는 구조체,Malfunctioning construct,비살상 정지 가능
construct_015,Construct,구조체,자율 학습형 구조체,Self-Learning Construct,지능,경험을 통해 대응 방식을 바꾸는 구조체,Advanced guardian motif,반복 교전 위험
construct_016,Construct,구조체,봉인 장치형 구조체,Sealing Device Construct,역할,봉인·구속·정화 장치와 연결된 구조체,Seal guardian,파괴 금지 가능
construct_017,Construct,구조체,운반·노동형 구조체,Labor Construct,용도,운반·채굴·건설 등 비전투 목적 구조체,Animated tools,정제 시설 사고
construct_018,Construct,구조체,의식 집행형 구조체,Ritual Construct,역할,의식 절차를 반복 집행하는 구조체,Ritual automaton,금기 정제 차단
dragon_001,Dragon,드래곤,색채룡형,Chromatic Dragon,혈통,색채와 원소성 탐욕을 지닌 드래곤 계열,Red Dragon; Blue Dragon,악성·영역성 강함
dragon_002,Dragon,드래곤,금속룡형,Metallic Dragon,혈통,금속성과 질서·고귀함의 상징을 지닌 드래곤 계열,Gold Dragon; Silver Dragon,항상 적대 아님
dragon_003,Dragon,드래곤,보석룡형,Gem Dragon,혈통,보석·정신성·특수 에너지와 결합한 드래곤 계열,Amethyst Dragon,보조 룰북 기반
dragon_004,Dragon,드래곤,원시 드래곤형,Primal Dragon,기원,고대 자연력과 직접 결합한 원초적 드래곤,Ancient dragon motif,지역 재난급
dragon_005,Dragon,드래곤,비룡형,Wyvern-like Dragon,형태,진룡보다 단순하고 야수성이 강한 비행 용종,Wyvern,독침·비행
dragon_006,Dragon,드래곤,용혈 야수형,Draconic Beast,혈통 영향,야수에 용혈·비늘·브레스 흔적이 섞인 유형,Dragon Turtle; Drake motif,Beast/Dragon 판정 필요
dragon_007,Dragon,드래곤,용혈 인간형,Draconic Humanoid,혈통 영향,인간형 종족이나 개인에게 용혈 특성이 강하게 나타난 유형,Dragonborn; Half-dragon,Humanoid와 병기
dragon_008,Dragon,드래곤,용혈 변이체형,Draconic Mutant,상태,용혈 주입·저주·오염으로 변이한 생물,Half-dragon template,현장 상태 태그와 결합
dragon_009,Dragon,드래곤,어린 용형,Young Dragon,연령,성체 이전의 성장 단계 드래곤,Young Red Dragon,위험도 상승 중
dragon_010,Dragon,드래곤,고룡형,Ancient Dragon,연령,오랜 세월과 영역 지배력을 지닌 고대 드래곤,Ancient Dragon,재난·정치급
dragon_011,Dragon,드래곤,수호룡형,Guardian Dragon,역할,성역·보물·유적·맹세를 수호하는 드래곤,Gold dragon guardian,교전 전 협상 가능
dragon_012,Dragon,드래곤,포식룡형,Predatory Dragon,생태,사냥과 포식 중심으로 움직이는 드래곤,White Dragon,생태 공고화 가능
dragon_013,Dragon,드래곤,원소 브레스형,Elemental Breath Dragon,공격 전달,화염·냉기·번개 등 원소 브레스가 핵심인 드래곤,Red; White; Blue Dragon,피해 타입과 연결
dragon_014,Dragon,드래곤,독성 브레스형,Toxic Breath Dragon,공격 전달,독·산성·부패성 분출을 주력으로 하는 드래곤,Green; Black Dragon,환경 오염 가능
dragon_015,Dragon,드래곤,공포 오라형,Frightful Aura Dragon,위협 양상,존재감과 공포 오라로 전장을 지배하는 드래곤,Adult/Ancient Dragon,공포 기록 중요
dragon_016,Dragon,드래곤,보물 집착형,Hoarding Dragon,행동,보물·지식·영역을 축적하고 지키는 드래곤,Classic dragon hoard,중립 회수와 충돌
dragon_017,Dragon,드래곤,지배자형,Dominating Dragon,사회성,지역 생태나 세력을 지배하는 드래곤,Dragon tyrant motif,정치 분쟁화 주의
dragon_018,Dragon,드래곤,타락한 용형,Corrupted Dragon,상태,잔향·악마·언데드·저주 등으로 타락한 드래곤,Dracolich; Shadow Dragon,별도 대분류와 병기 가능
dragon_019,Dragon,드래곤,언데드 용형,Undead Dragon,상태,사령성 힘으로 되살아난 용종,Dracolich; Zombie Dragon,Undead 대분류 가능
dragon_020,Dragon,드래곤,수중 용형,Aquatic Dragon,서식,해안·호수·심해와 결합한 용종,Dragon Turtle,수중 원정
elemental_001,Elemental,원소체,화염 원소체,Fire Elemental,원소,불과 열기로 구성된 원소 존재,Fire Elemental,연소 피해
elemental_002,Elemental,원소체,냉기 원소체,Cold Elemental,원소,냉기와 빙결성 힘으로 구성된 원소 존재,Ice Mephit,빙결 흔적
elemental_003,Elemental,원소체,물 원소체,Water Elemental,원소,"물과 압력, 흐름으로 구성된 원소 존재",Water Elemental,수로 위협
elemental_004,Elemental,원소체,대지 원소체,Earth Elemental,원소,"흙과 암석, 압력으로 구성된 원소 존재",Earth Elemental,굴파기 가능
elemental_005,Elemental,원소체,공기 원소체,Air Elemental,원소,"바람과 압력, 부유로 구성된 원소 존재",Air Elemental,비행/소용돌이
elemental_006,Elemental,원소체,번개 원소체,Lightning Elemental,원소,전격과 신경 교란성 힘을 지닌 원소 존재,Storm elemental motif,장비 오작동
elemental_007,Elemental,원소체,산성 원소체,Acid Elemental,원소,부식성 용해 힘으로 구성된 원소 존재,Acid weird motif,장비 손상
elemental_008,Elemental,원소체,독성 원소체,Poison Elemental,원소,독기·유독 가스·부패성 기체와 결합한 원소 존재,Poison cloud motif,호흡 위험
elemental_009,Elemental,원소체,마그마형 원소체,Magma Elemental,혼합 원소,화염과 대지가 결합한 고열 원소체,Magma mephit,화산 지형
elemental_010,Elemental,원소체,얼음 결정형 원소체,Ice Crystal Elemental,혼합 원소,냉기와 광물 결정이 결합한 원소체,Ice elemental motif,절단/냉기
elemental_011,Elemental,원소체,폭풍형 원소체,Storm Elemental,혼합 원소,바람·번개·천둥이 결합한 원소체,Storm spirit,전장 교란
elemental_012,Elemental,원소체,모래·먼지형 원소체,Sand/Dust Elemental,혼합 원소,모래·먼지·건조한 흐름으로 구성된 원소체,Dust mephit,시야 차단
elemental_013,Elemental,원소체,연기·증기형 원소체,Smoke/Steam Elemental,혼합 원소,연기와 증기로 시야와 호흡을 방해하는 원소체,Steam mephit,실내 위험
elemental_014,Elemental,원소체,광휘 원소체,Radiant Elemental,원소,빛과 정화성 에너지로 구성된 원소체,Light spirit motif,룩스테라 확장
elemental_015,Elemental,원소체,암흑 원소체,Shadow Elemental,원소,어둠과 빛 결핍을 기반으로 한 원소체,Shadow elemental motif,앙그라와 구분
elemental_016,Elemental,원소체,혼합 원소체,Composite Elemental,구성,둘 이상의 원소가 불안정하게 결합한 원소체,Hybrid elemental,피해 타입 복수
elemental_017,Elemental,원소체,원소 정령형,Elemental Spirit,역할,지역 원소와 의지를 공유하는 정령적 원소체,Elemental spirit,대화 가능성
elemental_018,Elemental,원소체,원소 재난형,Disaster Elemental,규모,지진·폭풍·화재 같은 재난이 형상화된 원소체,Elder elemental motif,재난 공고
elemental_019,Elemental,원소체,원소 기생형,Elemental Parasite,생태,다른 물체나 생물에 깃들어 원소성을 부여하는 존재,Azer-like infusion motif,정제 사고
elemental_020,Elemental,원소체,원소 수호형,Elemental Guardian,역할,성소·포탈·유적의 원소 방어자로 작동하는 존재,Elemental guardian,시설 방어
fey_001,Fey,요정,숲 요정형,Wildwood Fey,서식,숲과 야생 자연에 결속된 요정,Dryad; Pixie,자연 훼손 반응
fey_002,Fey,요정,궁정 요정형,Courtly Fey,사회성,요정 궁정·계급·예법 속에서 움직이는 요정,Archfey servant motif,계약 주의
fey_003,Fey,요정,장난꾼형 요정,Trickster Fey,행동,장난·기만·위치 교란으로 대상을 시험하는 요정,Sprite; Pixie,비살상 가능
fey_004,Fey,요정,유혹자형 요정,Beguiling Fey,위협 양상,매혹·노래·아름다움으로 유인하는 요정,Nymph-like motif,의지 판정
fey_005,Fey,요정,저주 전달자형 요정,Curse-Bearing Fey,기능,저주·불운·약속 위반의 대가를 전달하는 요정,Hag if Fey,해제 조건 중요
fey_006,Fey,요정,꿈·환상형 요정,Dream/Illusion Fey,정신 현상,꿈과 환상으로 길을 바꾸거나 기억을 흔드는 요정,Pixie; Satyr motif,괴담 검증
fey_007,Fey,요정,계절형 요정,Seasonal Fey,상징,봄·여름·가을·겨울과 결속된 요정,Eladrin motif,환경 변화
fey_008,Fey,요정,야생 사냥꾼형 요정,Wild Hunt Fey,역할,사냥 의식과 추적을 수행하는 요정,Wild Hunt motif,사냥꾼 공고와 대칭
fey_009,Fey,요정,변신형 요정,Shapeshifting Fey,능력,형태를 바꾸거나 타인의 모습을 흉내내는 요정,Doppelganger if Fey-like,침투자 식별
fey_010,Fey,요정,계약형 요정,Pact Fey,사회성,약속과 대가를 중심으로 힘을 주고 받는 요정,Hag bargain motif,계약 문구 기록
fey_011,Fey,요정,길잡이형 요정,Guide Fey,역할,길을 안내하거나 잘못된 길로 이끄는 요정,Will-o-wisp if Fey-like,안개권과 구분
fey_012,Fey,요정,미로·길잃음형 요정,Maze/Lost Fey,공간 현상,길잃음과 반복 경로를 유발하는 요정,Fey crossing motif,공간 왜곡 공고
fey_013,Fey,요정,감정 증폭형 요정,Emotion-Amplifying Fey,정신 현상,기쁨·분노·슬픔·공포를 증폭시키는 요정,Satyr; Hag motif,공포 의회와 구분
fey_014,Fey,요정,노래·춤형 요정,Song/Dance Fey,행동,노래와 춤으로 의식을 흐리거나 유인하는 요정,Satyr,청각 기록
fey_015,Fey,요정,식물 공생형 요정,Plant-Symbiotic Fey,생태,식물·나무·덩굴과 공생하는 요정,Dryad,Plant와 병기 가능
